ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,0.25,0.21,-0.04,-16.67,0.20,-0.05,-19.45,0.07,-0.18,-72.22,0.08,-0.17,-66.67,0.18,-0.07,-27.79,0.26,0.01,2.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,0.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,-0.14,-39.21,0.36,0.00,0.00,0.03,-0.32,-90.20,0.18,-0.17,-49.02,0.36,0.01,1.98,***,***,***
POTR-39,0.17,0.15,-0.03,-16.13,0.06,-0.12,-67.87,0.11,-0.06,-36.06,0.05,-0.13,-71.95,0.38,0.21,119.55,0.22,0.04,23.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,0.23,0.16,-0.07,-30.30,0.27,0.04,18.20,0.06,-0.17,-72.73,0.11,-0.12,-51.51,0.26,0.03,12.13,0.11,-0.12,-51.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,0.10,0.11,0.01,6.65,0.01,-0.09,-86.67,0.06,-0.04,-40.00,0.03,-0.08,-73.34,0.07,-0.03,-33.34,0.09,-0.01,-13.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,0.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.12,-0.08,-39.27,0.10,-0.10,-50.00,0.06,-0.13,-67.87,***,***,***,***,***,***,***,***,***
POTR-43,0.16,0.19,0.03,17.40,0.07,-0.09,-56.52,0.05,-0.11,-69.57,0.06,-0.10,-65.22,0.29,0.13,82.62,0.17,0.01,4.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,0.26,0.17,-0.08,-32.43,0.15,-0.11,-43.25,0.10,-0.16,-62.16,0.18,-0.08,-29.73,0.31,0.05,18.94,0.38,0.13,48.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,0.08,0.10,0.02,26.89,0.03,-0.05,-63.77,0.05,-0.03,-36.55,0.07,-0.01,-9.05,***,***,***,***,***,***,0.07,-0.01,-9.38,0.27,0.19,245.24,0.04,-0.04,-45.73,0.04,-0.04,-54.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.01,-0.06,-81.85
Mean,0.20,0.16,0.05,22.59,0.11,0.09,43.91,0.07,0.13,64.26,0.08,0.12,58.78,0.25,-0.05,-23.85,0.20,0.00,-1.86,0.07,0.13,65.16,0.27,-0.07,-32.74,0.04,0.16,79.13,0.04,0.17,82.52,0.17,0.03,16.58,0.23,-0.03,-12.95,0.05,0.15,75.69,0.18,0.02,9.63,0.36,-0.16,-80.78,0.01,0.19,93.02
