ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,0.85,1.25,0.40,47.09,0.17,-0.68,-80.18,0.47,-0.38,-44.56,0.40,-0.44,-52.28,0.00,-0.85,-100.00,0.21,-0.63,-74.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,0.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.03,9.07,946.17,8.17,7.21,752.10,7.83,6.87,717.03,8.21,7.25,756.65,10.11,9.15,954.95,***,***,***
POTR-39,0.00,0.98,0.98,***,1.61,1.61,***,1.63,1.63,***,0.00,0.00,0.00,3.34,3.34,***,2.39,2.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,1.61,1.72,0.11,6.78,0.64,-0.97,-60.36,0.44,-1.17,-72.89,0.28,-1.33,-82.66,1.61,0.00,0.21,3.03,1.42,88.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,8.59,9.26,0.67,7.84,3.53,-5.06,-58.91,1.38,-7.21,-83.89,1.75,-6.84,-79.66,2.19,-6.40,-74.53,10.28,1.69,19.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,20.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.60,-15.40,-77.02,3.02,-16.97,-84.89,8.35,-11.65,-58.24,***,***,***,***,***,***,***,***,***
POTR-43,5.32,2.18,-3.14,-58.96,1.15,-4.17,-78.46,5.83,0.51,9.60,3.03,-2.29,-43.03,10.57,5.25,98.80,9.41,4.10,77.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,4.70,3.51,-1.20,-25.42,3.64,-1.06,-22.57,3.79,-0.91,-19.36,0.00,-4.70,-100.00,5.64,0.94,20.00,11.98,7.28,154.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.05,3.05,***,2.37,2.37,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,1.46,1.46,***,2.01,2.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,15.95,15.95,***
Mean,4.67,2.70,1.97,42.17,1.53,3.14,67.16,2.37,2.30,49.23,1.12,3.55,76.04,3.89,0.78,16.61,6.22,-1.55,-33.21,0.00,4.67,100.00,0.00,4.67,100.00,1.46,3.20,68.63,2.01,2.66,56.98,7.31,-2.64,-56.59,5.59,-0.93,-19.82,8.09,-3.42,-73.27,8.21,-3.54,-75.86,10.11,-5.44,-116.56,15.95,-11.29,-241.69
