ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,0.23,0.39,0.17,74.44,0.55,0.33,144.44,0.19,-0.03,-14.44,0.59,0.36,161.11,0.18,-0.04,-18.89,0.52,0.29,128.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,1.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.81,-0.28,-25.46,0.65,-0.45,-40.83,0.78,-0.32,-28.90,0.79,-0.30,-27.75,1.19,0.10,9.17,***,***,***
POTR-39,0.69,0.71,0.02,3.65,0.67,-0.01,-1.82,0.45,-0.24,-35.04,0.37,-0.32,-45.99,0.61,-0.07,-10.58,0.43,-0.26,-37.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,0.80,0.59,-0.21,-25.94,0.83,0.02,3.12,0.57,-0.23,-28.44,0.31,-0.49,-61.25,0.10,-0.70,-87.19,0.56,-0.24,-30.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,1.05,1.02,-0.03,-2.85,0.33,-0.72,-68.65,0.51,-0.55,-52.02,0.95,-0.10,-9.74,0.26,-0.79,-75.06,0.99,-0.06,-6.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,2.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.15,-0.92,-44.26,0.95,-1.12,-54.05,0.80,-1.27,-61.55,***,***,***,***,***,***,***,***,***
POTR-43,0.47,0.39,-0.08,-17.11,0.51,0.04,9.09,0.17,-0.30,-63.64,0.35,-0.12,-25.13,0.34,-0.13,-27.81,0.34,-0.13,-26.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,1.44,1.58,0.14,9.38,1.85,0.41,28.65,0.48,-0.96,-66.67,0.91,-0.53,-36.63,0.95,-0.49,-34.20,1.92,0.48,33.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,1.33,0.41,-0.92,-69.11,0.46,-0.87,-65.54,0.34,-0.99,-74.20,0.25,-1.08,-81.36,***,***,***,***,***,***,0.14,-1.19,-89.45,0.30,-1.03,-77.40,0.08,-1.25,-94.35,0.10,-1.23,-92.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,-1.01,-76.08
Mean,1.02,0.73,0.29,28.52,0.74,0.27,27.01,0.39,0.63,61.98,0.53,0.48,47.65,0.41,0.61,59.94,0.79,0.23,22.17,0.14,0.88,86.24,0.30,0.72,70.51,0.08,0.94,92.63,0.10,0.92,90.66,0.98,0.03,3.41,0.80,0.22,21.60,0.79,0.23,22.83,0.79,0.23,22.58,1.19,-0.17,-16.99,0.32,0.70,68.79
