ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,2.56,4.46,1.90,74.44,6.25,3.69,144.44,2.19,-0.37,-14.44,6.68,4.12,161.11,2.07,-0.48,-18.89,5.85,3.29,128.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,12.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.23,-3.15,-25.46,7.33,-5.06,-40.83,8.81,-3.58,-28.90,8.95,-3.44,-27.75,13.52,1.14,9.17,***,***,***
POTR-39,7.78,8.07,0.28,3.65,7.64,-0.14,-1.82,5.06,-2.73,-35.04,4.20,-3.58,-45.99,6.96,-0.82,-10.58,4.83,-2.95,-37.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,9.09,6.73,-2.36,-25.94,9.37,0.28,3.13,6.50,-2.58,-28.44,3.52,-5.57,-61.25,1.16,-7.92,-87.19,6.33,-2.76,-30.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,11.96,11.62,-0.34,-2.85,3.75,-8.21,-68.65,5.74,-6.22,-52.02,10.79,-1.16,-9.74,2.98,-8.98,-75.06,11.22,-0.74,-6.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,23.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.09,-10.40,-44.26,10.79,-12.70,-54.05,9.03,-14.46,-61.55,***,***,***,***,***,***,***,***,***
POTR-43,5.31,4.40,-0.91,-17.11,5.79,0.48,9.09,1.93,-3.38,-63.64,3.98,-1.34,-25.13,3.83,-1.48,-27.81,3.89,-1.42,-26.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,16.36,17.89,1.53,9.38,21.05,4.69,28.65,5.45,-10.91,-66.67,10.37,-5.99,-36.63,10.77,-5.60,-34.20,21.84,5.48,33.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,15.08,4.66,-10.42,-69.11,5.20,-9.88,-65.54,3.89,-11.19,-74.20,2.81,-12.27,-81.36,***,***,***,***,***,***,1.59,-13.49,-89.45,3.41,-11.67,-77.40,0.85,-14.23,-94.35,1.08,-14.00,-92.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.61,-11.48,-76.08
Mean,11.56,8.26,3.30,28.52,8.44,3.12,27.01,4.39,7.16,61.98,6.05,5.51,47.65,4.63,6.93,59.94,8.99,2.56,22.17,1.59,9.97,86.24,3.41,8.15,70.51,0.85,10.71,92.63,1.08,10.48,90.66,11.16,0.39,3.41,9.06,2.50,21.60,8.92,2.64,22.83,8.95,2.61,22.58,13.52,-1.96,-16.99,3.61,7.95,68.79
