ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,0.17,0.28,0.11,62.32,0.28,0.11,63.77,0.33,0.16,92.75,0.36,0.18,105.80,0.25,0.08,43.48,0.21,0.04,21.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.37,-0.23,-37.97,0.48,-0.12,-19.83,0.53,-0.06,-10.13,0.60,0.01,1.69,0.93,0.33,56.12,***,***,***
POTR-39,0.32,0.22,-0.10,-30.16,1.14,0.82,260.32,0.29,-0.03,-9.52,0.45,0.14,43.65,0.41,0.09,29.37,0.32,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,0.21,0.21,-0.01,-2.35,0.54,0.33,155.29,0.22,0.00,1.18,0.30,0.09,41.18,0.22,0.01,4.71,0.27,0.05,24.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,0.21,0.31,0.10,48.81,0.43,0.22,103.57,0.19,-0.02,-8.33,0.53,0.32,153.57,0.35,0.14,65.48,0.34,0.13,61.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,0.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,-0.73,-74.55,1.04,0.06,5.85,0.21,-0.77,-78.37,***,***,***,***,***,***,***,***,***
POTR-43,0.16,0.16,0.00,-1.56,0.17,0.01,3.13,0.17,0.01,6.25,0.51,0.35,217.19,0.35,0.19,115.63,0.25,0.09,53.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,0.32,0.79,0.47,145.31,0.81,0.49,153.13,0.23,-0.10,-29.69,0.80,0.48,150.78,0.90,0.58,179.69,0.62,0.30,92.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,0.45,0.10,-0.35,-77.35,0.38,-0.08,-16.57,0.57,0.12,25.97,0.85,0.40,87.85,***,***,***,***,***,***,0.16,-0.29,-64.09,0.21,-0.24,-53.59,0.33,-0.13,-27.62,0.44,-0.01,-2.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.02,0.56,124.31
Mean,0.38,0.30,0.08,22.31,0.53,-0.15,-40.70,0.28,0.10,25.13,0.54,-0.16,-42.96,0.41,-0.03,-8.19,0.33,0.05,12.66,0.16,0.22,57.21,0.21,0.17,44.70,0.33,0.05,13.75,0.44,-0.06,-16.53,0.31,0.07,18.69,0.76,-0.38,-99.49,0.37,0.01,1.90,0.60,-0.22,-58.67,0.93,-0.55,-143.60,1.02,-0.64,-167.30
