ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,0.32,0.52,0.20,62.32,0.52,0.20,63.77,0.62,0.30,92.75,0.66,0.34,105.80,0.46,0.14,43.48,0.39,0.07,21.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,1.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.68,-0.42,-37.97,0.88,-0.22,-19.83,0.99,-0.11,-10.13,1.12,0.02,1.69,1.71,0.62,56.12,***,***,***
POTR-39,0.58,0.41,-0.18,-30.16,2.10,1.52,260.32,0.53,-0.06,-9.52,0.84,0.25,43.65,0.75,0.17,29.37,0.58,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,0.39,0.38,-0.01,-2.35,1.00,0.61,155.29,0.40,0.00,1.18,0.56,0.16,41.18,0.41,0.02,4.71,0.49,0.10,24.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,0.39,0.58,0.19,48.81,0.79,0.40,103.57,0.36,-0.03,-8.33,0.99,0.60,153.57,0.64,0.25,65.48,0.63,0.24,61.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,1.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.46,-1.36,-74.55,1.93,0.11,5.85,0.39,-1.43,-78.37,***,***,***,***,***,***,***,***,***
POTR-43,0.30,0.29,0.00,-1.56,0.31,0.01,3.13,0.31,0.02,6.25,0.94,0.64,217.19,0.64,0.34,115.63,0.45,0.16,53.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,0.59,1.45,0.86,145.31,1.50,0.91,153.13,0.42,-0.18,-29.69,1.49,0.89,150.78,1.66,1.06,179.69,1.14,0.55,92.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,0.84,0.19,-0.65,-77.35,0.70,-0.14,-16.57,1.06,0.22,25.97,1.57,0.74,87.85,***,***,***,***,***,***,0.30,-0.54,-64.09,0.39,-0.45,-53.59,0.61,-0.23,-27.62,0.82,-0.02,-2.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.88,1.04,124.31
Mean,0.70,0.55,0.16,22.31,0.99,-0.29,-40.70,0.53,0.18,25.13,1.00,-0.30,-42.96,0.76,-0.06,-8.19,0.61,0.09,12.66,0.30,0.40,57.21,0.39,0.31,44.70,0.61,0.10,13.75,0.82,-0.12,-16.53,0.57,0.13,18.69,1.40,-0.70,-99.49,0.69,0.01,1.90,1.12,-0.41,-58.67,1.71,-1.01,-143.60,1.88,-1.18,-167.30
