ProjectUnit = Quaking Aspen
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff
POTR-37,9.85,11.90,2.05,20.81,11.77,1.92,19.47,9.57,-0.28,-2.87,15.87,6.02,61.11,8.92,-0.94,-9.51,19.09,9.24,93.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-38,40.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,34.56,-5.55,-13.83,35.43,-4.68,-11.67,41.63,1.53,3.82,31.55,-8.56,-21.33,36.57,-3.53,-8.81,***,***,***
POTR-39,16.60,17.98,1.39,8.36,20.73,4.14,24.93,12.52,-4.08,-24.59,13.76,-2.83,-17.06,15.31,-1.29,-7.75,19.74,3.14,18.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-40,21.45,18.19,-3.26,-15.19,21.32,-0.13,-0.61,15.82,-5.63,-26.23,15.41,-6.04,-28.15,8.11,-13.33,-62.17,17.53,-3.92,-18.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-41,33.67,33.42,-0.25,-0.75,24.66,-9.01,-26.77,25.42,-8.26,-24.52,39.57,5.89,17.50,42.51,8.84,26.24,73.00,39.33,116.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-42,88.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,35.63,-52.47,-59.56,33.11,-54.99,-62.42,50.93,-37.16,-42.18,***,***,***,***,***,***,***,***,***
POTR-43,31.18,28.16,-3.02,-9.69,28.19,-2.99,-9.59,25.68,-5.50,-17.64,38.68,7.50,24.05,35.51,4.32,13.87,37.71,6.53,20.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-44,32.48,33.64,1.16,3.58,37.55,5.07,15.60,24.22,-8.26,-25.42,38.04,5.56,17.13,36.14,3.66,11.27,52.33,19.85,61.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
POTR-46,24.91,32.91,8.00,32.10,30.11,5.19,20.85,37.32,12.40,49.79,42.49,17.57,70.54,***,***,***,***,***,***,31.64,6.72,26.99,21.90,-3.02,-12.11,29.25,4.34,17.42,43.73,18.82,75.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,46.64,21.73,87.23
Mean,33.15,25.17,7.98,24.06,24.90,8.25,24.87,21.51,11.64,35.12,29.12,4.03,12.16,24.42,8.73,26.35,36.57,-3.42,-10.31,31.64,1.51,4.56,21.90,11.25,33.95,29.25,3.90,11.76,43.73,-10.58,-31.91,35.09,-1.94,-5.86,34.27,-1.12,-3.37,46.28,-13.13,-39.62,31.55,1.60,4.83,36.57,-3.42,-10.33,46.64,-13.49,-40.71
