Date,SampleEvent_TreatmentUnit,SampleEvent_DefaultMonitoringStatus,MacroPlot Name,Species Symbol,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Visited,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,,0.1,0.1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,,0.1,0.1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1011,True,1,1,11,L,24,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,4,True,1,0.25,48,L,11.5,7,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1030,True,3,1,30,L,83.2,,,D,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,18,True,1,0.25,62,L,7.5,6,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1041,True,4,1,41,L,29.8,,,SC,,,,,,,,,,,,,,,,,0,0,0,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1003,True,1,1,571,L,15.5,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1029,True,2,1,29,L,24.7,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1015,True,1,1,15,L,32.5,,,C,,,,,,,,,,,,,,,,,0,0,0,LEAN,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1031,True,3,1,31,D,56,,,CS,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1008,True,1,1,8,L,36.4,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1002,True,1,1,2,L,23.7,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1040,True,4,1,40,L,18.9,,,I,,,,,,,,,,,,,,,,,0,0,0,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,5,True,1,0.25,49,L,7.5,5,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1021,True,2,1,21,L,36.2,,,I,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1028,True,2,1,572,L,15.4,,,SC,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,2,True,1,0.25,46,L,5,3,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1005,True,1,1,5,L,22.8,,,I,,,,,,,,,,,,,,,,,0,0,0,FORK,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,1018,True,1,1,438,L,57.8,,,C,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
6/10/1995 12:00:00 AM,TC2,,B:FPIPO1D09:01,PIPO,,,,,,,,,,11,True,1,0.25,55,L,10,6,,X,,,,,,,,,,,,,,,,,0,0,0,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
