Date,SampleEvent_TreatmentUnit,SampleEvent_DefaultMonitoringStatus,MacroPlot Name,Species Symbol,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Visited,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,,0.1,0.1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,ABCO,,,,,,,,,,1007,True,2,1,3,L,25.4,,,I,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,ABCO,,,,,,,,,,1010,True,3,1,13,L,29.7,,,I,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,ABCO,,,,,,,,,,1009,True,2,1,12,L,28.1,,,I,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,ABCO,,,,,,,,,,1008,True,2,1,11,L,42.4,,,I,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,ABCO,,,,,,,,,,1005,True,2,1,1,L,35,,,I,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,ABCO,,,,,,,,,,1006,True,2,1,2,L,20.2,,,I,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,ABCO,,,,,,,,,,1011,True,3,1,15,L,52.2,,,C,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,ABCO,,,,,,,,,,1014,True,3,1,18,L,101.5,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,PILA,,,,,,,,,,1012,True,3,1,16,L,103.7,,,D,,,,,,,,,,,,,,,,,,,,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,PILA,,,,,,,,,,1002,True,1,1,22,L,100.5,,,D,,,,,,,,,,,,,,,,,,,,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,PILA,,,,,,,,,,1003,True,1,1,100,L,143,,,D,,,,,,,,,,,,,,,,,,,,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,PILA,,,,,,,,,,1001,True,1,1,20,L,112.4,,,D,,,,,,,,,,,,,,,,,,,,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,PILA,,,,,,,,,,1013,True,3,1,17,L,131.4,,,D,,,,,,,,,,,,,,,,,,,,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
5/14/1990 12:00:00 AM,,00PRE,FMICO1D0801,PILA,,,,,,,,,,1004,True,1,1,328,L,85.2,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,,0.1,0.1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
5/17/1990 12:00:00 AM,,,FMICO1D0820,CONU4,,,,,,,,,,3,True,1,0.25,65,L,7,10,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,CONU4,,,,,,,,,,5,True,1,0.25,71,L,5,10,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,CONU4,,,,,,,,,,2,True,1,0.25,64,L,7,10,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,CONU4,,,,,,,,,,1,True,1,0.25,63,L,5,10,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,CONU4,,,,,,,,,,4,True,1,0.25,66,L,6,10,,X,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,From FMH TREEPOLE 1069,,, poleq1,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1006,True,4,1,331,L,45.5,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1005,True,3,1,337,L,86,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1004,True,3,1,336,L,71.5,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1001,True,1,1,352,L,84,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq1,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1010,True,4,1,341,L,56,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1007,True,4,1,338,L,78,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1009,True,4,1,340,L,59,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1008,True,4,1,339,L,46.5,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,ABCO,,,,,,,,,,1003,True,3,1,335,L,25,,,D,,,,,,,,,,,,,,,,,,,,ROTT,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq3,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,PILA,,,,,,,,,,1002,True,2,1,334,L,134,,,D,,,,,,,,,,,,,,,,,,,,FIRE,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq2,,
5/17/1990 12:00:00 AM,,,FMICO1D0820,PILA,,,,,,,,,,1011,True,4,1,342,L,123,,,D,,,,,,,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,FMH TREEOVER 1067,,, overq4,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,,0.1,0.1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,PIPO,,,,,,,,,,-2147483582,True,3,1,700,L,32.8,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483616,True,1,1,314,L,25.9,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483624,True,1,1,391,L,27.8,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483571,True,4,1,371,L,15.6,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483605,True,1,1,66,L,19.1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483602,True,2,1,179,L,16.2,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483583,True,3,1,401,L,17.8,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483595,True,2,1,660,L,20.5,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483581,True,3,1,241,L,17.7,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483592,True,2,1,114,L,28.7,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483598,True,2,1,102,L,22.6,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483647,True,1,0.25,63,L,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483611,True,1,1,709,L,16.8,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483603,True,1,1,97,L,18.1,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1990 12:00:00 AM,,,FQUKE1D0914,QUKE,,,,,,,,,,-2147483610,True,1,1,107,L,19.7,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
