Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
BAND,B:FPLEX1T02:01,,,,,,,PA 1,,Forest,,,372633,3968493,,,0,0,10/17/05,,,,,228,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 fuel2: From FMH 1052 fuel3: From FMH 1052 fuel4: From FMH 1052 overQ1: From FMH 1039 overQ2: From FMH 1040 overQ3: From FMH 1041 overQ4: From FMH 1042 poleQ1: From FMH 1043 poleQ2: From FMH 1044 seedQ1: From FMH query 17 shrbQ3: From FMH 1037 shrbQ4: From FMH 1036 vegQ3: From FMH 1050 vegQ4: From FMH 1049,,,,,,,,
BAND,B:FPLEX1T02:01,7/12/99,,"From FMH 1029 FMH-4 says you need this plot, so it was automatically added.",0,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:01,6/8/00,,From FMH 1029                                                                  ,1,01POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:01,7/2/01,,From FMH 1029                                                                  ,2,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:01,7/8/02,,From FMH 1029                                                                  ,3,01YEAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:01,10/30/12 15:53,"BG, AC, KP, I&M folks",,4,02YEAR1,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:01,6/5/14 16:32,,,5,02YEAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:01,8/3/17 16:58,,,6,02YEAR6,02YR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:02,,,,,,,PA 1,,Forest,,,373013,3968565,,,0,0,10/17/05,,,,,120,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 fuel2: From FMH 1052 fuel3: From FMH 1052 fuel4: From FMH 1052 overQ1: From FMH 1039 overQ2: From FMH 1040 overQ3: From FMH 1041 overQ4: From FMH 1042 poleQ1: From FMH 1043 poleQ2: From FMH 1044 seedQ1: From FMH query 17 shrbQ3: From FMH 1037 shrbQ4: From FMH 1036 vegQ3: From FMH 1050 vegQ4: From FMH 1049,,,,,,,,
BAND,B:FPLEX1T02:02,7/19/99,,From FMH 1029                                                                  ,0,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:02,6/8/00,,From FMH 1029                                                                  ,1,01POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:02,7/23/01,,From FMH 1029                                                                  ,2,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:02,7/11/02,,From FMH 1029                                                                  ,3,01YEAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:02,10/29/12 15:56,"AC, KP, I&M folks",,4,02YEAR1,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:02,6/11/14 16:36,,,5,02YEAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:02,8/2/17 10:13,,,6,02YEAR6,02YR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:03,,,,,,,PA 1,,Forest,,,372857,3968814,,,0,0,10/17/05,,,,,290,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 fuel2: From FMH 1052 fuel3: From FMH 1052 fuel4: From FMH 1052 overQ1: From FMH 1039 overQ2: From FMH 1040 overQ3: From FMH 1041 overQ4: From FMH 1042 poleQ1: From FMH 1043 poleQ2: From FMH 1044 seedQ1: From FMH query 17 shrbQ3: From FMH 1037 shrbQ4: From FMH 1036 vegQ3: From FMH 1050 vegQ4: From FMH 1049,,,,,,,,
BAND,B:FPLEX1T02:03,7/13/99,,From FMH 1029                                                                  ,0,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:03,6/6/00,,From FMH 1029                                                                  ,1,01POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:03,7/3/01,,From FMH 1029                                                                  ,2,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:03,7/10/02,,From FMH 1029                                                                  ,3,01YEAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:03,12/12/12 14:57,"BG, AC, PM, CB",,4,02YEAR1,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:03,6/12/14 16:37,,,5,02YEAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:03,8/2/17 10:14,,,6,02YEAR6,02YR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:04,,,,,,,PA 1,,Forest,,,372844,3969046,,,0,0,10/17/05,,,,,202,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 fuel2: From FMH 1052 fuel3: From FMH 1052 fuel4: From FMH 1052 overQ1: From FMH 1039 overQ2: From FMH 1040 overQ3: From FMH 1041 overQ4: From FMH 1042 poleQ1: From FMH 1043 poleQ2: From FMH 1044 seedQ1: From FMH query 17 shrbQ3: From FMH 1037 shrbQ4: From FMH 1036 vegQ3: From FMH 1050 vegQ4: From FMH 1049,,,,,,,,
BAND,B:FPLEX1T02:04,7/13/99,,From FMH 1029                                                                  ,0,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:04,6/6/00,,From FMH 1029                                                                  ,1,01POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:04,7/3/01,,From FMH 1029                                                                  ,2,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:04,7/9/02,,From FMH 1029                                                                  ,3,01YEAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:04,10/29/12 17:18,"BG, I&M crew, KS",,4,02YEAR1,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:04,6/23/14 16:38,,,5,02YEAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:04,7/31/17 15:15,,,6,02YEAR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:05,,,,,,,PA 1,,Forest,,,372259,3969478,13S,27,0,0,10/17/05,,,,,289,206,41,11, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 fuel2: From FMH 1052 fuel3: From FMH 1052 fuel4: From FMH 1052 overQ1: From FMH 1039 overQ2: From FMH 1040 overQ3: From FMH 1041 overQ4: From FMH 1042 poleQ1: From FMH 1043 poleQ2: From FMH 1044 seedQ1: From FMH query 17 shrbQ3: From FMH 1037 shrbQ4: From FMH 1036 vegQ3: From FMH 1050 vegQ4: From FMH 1049,,,,,,,,
BAND,B:FPLEX1T02:05,7/20/99,,"From FMH 1029 FMH-4 says you need this plot, so it was automatically added.",0,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:05,6/19/00,,From FMH 1029                                                                  ,1,01POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:05,7/30/01,,From FMH 1029                                                                  ,2,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:05,7/16/02,,From FMH 1029                                                                  ,3,01YEAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:05,10/31/12 15:55,I&M folks,,4,02YEAR1,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:05,6/4/14 16:39,,,5,02YEAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:05,7/25/17 13:25,,,6,02YEAR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:06,,,,,,,PA 1,,Forest,,,372748,3969316,,,0,0,10/17/05,,,,,357,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 fuel2: From FMH 1052 fuel3: From FMH 1052 fuel4: From FMH 1052 overQ1: From FMH 1039 overQ2: From FMH 1040 overQ3: From FMH 1041 overQ4: From FMH 1042 poleQ1: From FMH 1043 poleQ2: From FMH 1044 seedQ1: From FMH query 17 shrbQ3: From FMH 1037 shrbQ4: From FMH 1036 vegQ3: From FMH 1050 vegQ4: From FMH 1049,,,,,,,,
BAND,B:FPLEX1T02:06,7/21/99,,From FMH 1029                                                                  ,0,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAND,B:FPLEX1T02:06,6/19/00,,From FMH 1029                                                                  ,1,01POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
