Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
CRLA,B:FABCO1D08:01,,,,,,,PH-1,"JEPR,CHFR,",Forest,,,576571,4735850,10,NAD83,1,0,8/19/98,,,4463,feet,104,180,1,1,"Go South on Highway 62 to South Yard ( just before park boundary sign). Park in South Yard, on the North side of parking area near an open Barn Structure with a metal roof & 8 posts. The east corner post has a tab labeled #487 on it.     From this post, g","Route Description: From post on barn structure, go 65 meters at 41 degrees to 0P. Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 65",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 <Merged from SubSample fuel1_Actual Protocol> fuel2: From FMH 1052 <Merged from SubSample fuel2_Actual Protocol> fuel3: From FMH 1052 <Merged from SubSample fuel3_Actual Protocol> fuel4: From FMH 1052 <Merged from SubSample fuel4_Actual Protocol> herbq3: From FMH 1050 <Merged from SubSample tranq3_Actual Protocol> herbq4: From FMH 1049 <Merged from SubSample tranq4_Actual Protocol> overq1: From FMH 1039 <Merged from SubSample overq1_Actual Protocol> overq2: From FMH 1040 <Merged from SubSample overq2_Actual Protocol> overq3: From FMH 1041 <Merged from SubSample overq3_Actual Protocol> overq4: From FMH 1042 <Merged from SubSample overq4_Actual Protocol> poleq1: From FMH 1043 <Merged from SubSample poleq1_Actual Protocol> seedq1: From FMH 1047 <Merged from SubSample seed_Actual Protocol> shrbq3_5 m belt: From FMH 1037 <Merged from SubSample shrbq3_Actual Protocol> shrbq4_5 m belt: From FMH 1036 <Merged from SubSample shrbq4_Actual Protocol>,,,,,,,,
CRLA,B:FABCO1D08:01,8/19/98 9:50,,,0,00Pro1,Pre00Year01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRLA,B:FABCO1D08:01,8/16/02,,From FMH 1029                                                                  ,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRLA,B:FABCO1D08:01,6/3/13 8:01,,,5,01Yr10,01Yr10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRLA,B:FABCO1D08:02,,,,,,,PH-1,,Forest,,,575910,4736269,10,NAD83,0,0,8/21/98,,,4538,feet,142,180,5,5, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 <Merged from SubSample fuel1_Actual Protocol> fuel2: From FMH 1052 <Merged from SubSample fuel2_Actual Protocol> fuel3: From FMH 1052 <Merged from SubSample fuel3_Actual Protocol> fuel4: From FMH 1052 <Merged from SubSample fuel4_Actual Protocol> herbq3: From FMH 1050 <Merged from SubSample tranq3_Actual Protocol> herbq4: From FMH 1049 <Merged from SubSample tranq4_Actual Protocol> overq1: From FMH 1039 <Merged from SubSample overq1_Actual Protocol> overq2: From FMH 1040 <Merged from SubSample overq2_Actual Protocol> overq3: From FMH 1041 <Merged from SubSample overq3_Actual Protocol> overq4: From FMH 1042 <Merged from SubSample overq4_Actual Protocol> poleq1: From FMH 1043 <Merged from SubSample poleq1_Actual Protocol> seedq1: From FMH 1047 <Merged from SubSample seed_Actual Protocol> shrbq3_5 m belt: From FMH 1037 <Merged from SubSample shrbq3_Actual Protocol> shrbq4_5 m belt: From FMH 1036 <Merged from SubSample shrbq4_Actual Protocol>,,,,,,,,
CRLA,B:FABCO1D08:02,8/21/98,,From FMH 1029 ,0,00Pro1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRLA,B:FABCO1D08:02,8/16/02,,From FMH 1029 ,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRLA,B:FABCO1D08:02,6/3/13 8:02,,,5,01Yr10,01Yr10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRLA,B:FABCO1D08:03,,,,,,,PH-2,,Forest,,,575729,4737106,10,NAD83,0,0,8/4/99,,,4626,feet,280,0,4,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  fuel1: From FMH 1052 <Merged from SubSample fuel1_Actual Protocol> fuel2: From FMH 1052 <Merged from SubSample fuel2_Actual Protocol> fuel3: From FMH 1052 <Merged from SubSample fuel3_Actual Protocol> fuel4: From FMH 1052 <Merged from SubSample fuel4_Actual Protocol> herbq3: From FMH 1050 <Merged from SubSample tranq3_Actual Protocol> herbq4: From FMH 1049 <Merged from SubSample tranq4_Actual Protocol> overq1: From FMH 1039 <Merged from SubSample overq1_Actual Protocol> overq2: From FMH 1040 <Merged from SubSample overq2_Actual Protocol> overq3: From FMH 1041 <Merged from SubSample overq3_Actual Protocol> overq4: From FMH 1042 <Merged from SubSample overq4_Actual Protocol> poleq1: From FMH 1043 <Merged from SubSample poleq1_Actual Protocol> seedq1: From FMH 1047 <Merged from SubSample seed_Actual Protocol> shrbq3_5 m belt: From FMH 1037 <Merged from SubSample shrbq3_Actual Protocol> shrbq4_5 m belt: From FMH 1036 <Merged from SubSample shrbq4_Actual Protocol>,,,,,,,,
CRLA,B:FABCO1D08:03,8/4/99,,From FMH 1029 ,0,00Pro1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
