Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
ELMA,23,,,,,,,,"BG, LT",Biomass,,,,,,,,,4/30/09 13:33,,,,,,,,,,,,,,,,,,,,
ELMA,23,4/8/09 13:35,,,0,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,32,,,,,,,,"BG, LT",Biomass,,,,,,,,,4/30/09 13:35,,,,,,,,,,,,,,,,,,,,
ELMA,32,4/8/09 13:36,,,0,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,,,,,,,,"TJ,Kopper,Trader",Forest,,,770292,3876024,,,0,0,8/12/94,,,,,291,-45,1,0,"40 west to exit 81, proceed on 53 south to information center   Heading to Plot 256","Route Description: drive behind info center on gravel road, find light colored (tan) building (fire cache building).  From the souhtwest corner of the building, walk approx. 60 meters @ 256 degrees to domiant PIPO with a slight lean to the south, dbh= 96.",From FMH 1028 ,Subsample comments:  Fuel1: From FMH 1052 Fuel2: From FMH 1052 Fuel3: From FMH 1052 Fuel4: From FMH 1052 OverQ1: From FMH 1039 OverQ2: From FMH 1040 OverQ3: From FMH 1041 OverQ4: From FMH 1042 PoleQ1: From FMH 1043 PoleQ2: From FMH 1044 PoleQ3: From FMH 1045 PoleQ4: From FMH 1046 SeedQ1: From FMH query 17 ShrbQ3: From FMH 1037 ShrbQ4: From FMH 1036 VegQ3:  VegQ4: From FMH 1049,,,,,,,,
ELMA,B:FBOGR1T02:01,8/12/94,,From FMH 1029 ,1,Pre00,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,9/23/98,,From FMH 1029                                                                  ,4,01YEAR3,01YEAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,8/3/00,,From FMH 1029                                                                  ,6,Re01Year05,01YEAR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,9/27/07 13:37,"Gastineau, Vogler, Sharp, Mathews",,7,02PRE,02PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,11/24/08 17:14,,,8,02POST,02POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,9/3/09 13:12,"SU, PR, GB, AB, KS",,9,02YEAR1,02YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,8/2/10 14:43,"RP, DB, JW, MS, BG, SM, BC, BH, JS",,10,02YEAR2,02Year2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,8/12/13 14:23,"BG, TJ",,11,02YEAR5,03PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:01,9/29/18 11:13,,,13,02YEAR10,02YEAR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,,,,,,,,,Forest,,,0,0,,,0,0,10/6/05,,,,,299,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  Fuel1: From FMH 1052 Fuel2: From FMH 1052 Fuel3: From FMH 1052 Fuel4: From FMH 1052 OverQ1: From FMH 1039 OverQ2: From FMH 1040 OverQ3: From FMH 1041 OverQ4: From FMH 1042 PoleQ1: From FMH 1043 PoleQ2: From FMH 1044 PoleQ3: From FMH 1045 PoleQ4: From FMH 1046 SeedQ1: From FMH query 17 ShrbQ3: From FMH 1037 ShrbQ4: From FMH 1036 VegQ4: From FMH 1049,,,,,,,,
ELMA,B:FBOGR1T02:02,9/8/97,,From FMH 1029 ,1,Pre00,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,11/29/99,,From FMH 1029                                                                  ,1,01POST,01POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,9/12/00,,From FMH 1029                                                                  ,3,Re01Year01,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,9/18/02,,From FMH 1029                                                                  ,4,01YEAR3,01YEAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,9/10/04,,From FMH 1029                                                                  ,6,Re01Year05,01YEAR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,10/22/07 14:01,,,7,02PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,8/31/10 10:58,"M Scheintaub, B Houseman, R Celveland, R Panning, J Wilson, J Sudderth, S Massed",,6,01YEAR11,01Year11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,9/19/16 15:34,,,8,02POST,02POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,11/15/17 15:26,,,,,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:02,10/2/18 11:15,,,10,02YEAR2,02YEAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:03,,,,,,,,,Forest,,,0,0,,,0,0,10/6/05,,,,,315,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  Fuel1: From FMH 1052 Fuel2: From FMH 1052 Fuel3: From FMH 1052 Fuel4: From FMH 1052 OverQ1: From FMH 1039 OverQ2: From FMH 1040 OverQ3: From FMH 1041 OverQ4: From FMH 1042 PoleQ1: From FMH 1043 PoleQ2: From FMH 1044 PoleQ3: From FMH 1045 PoleQ4: From FMH 1046 SeedQ1: From FMH query 17 ShrbQ3: From FMH 1037 ShrbQ4: From FMH 1036 VegQ4: From FMH 1049,,,,,,,,
ELMA,B:FBOGR1T02:03,10/9/97,,From FMH 1029 ,1,Pre00,01PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:03,11/29/99,,From FMH 1029                                                                  ,1,01POST,01POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:03,9/26/00,,From FMH 1029                                                                  ,3,Re01Year01,01YEAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:03,9/18/02,,From FMH 1029                                                                  ,4,01YEAR3,01YEAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMA,B:FBOGR1T02:03,9/10/04,,From FMH 1029                                                                  ,6,Re01Year05,01YEAR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
