Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
GRCA,BC01,,,,,,,Burnt Corral,"BRANNFORS, HAMBY,  McCLURE,  ANDERSON",RA,,,379138,4047968,12,NAD83,,,9/26/16,,,7440,feet,15,320,,20,,,SKID ROAD AND LOGGING IN PLOT,Burnt Corral01,USFS-Burnt Corral Project Unit,,,,,,,
GRCA,BC01,9/26/16 14:28,"Brannfors, Hamby, Anderson, McClure",,1,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCA,BC02,,,,,,,Burnt Corral,"BRANNFORS, HAMBY, McCLURE,  ANDERSON",RA,,,376349,4047880,12,NAD83,,,9/26/16,,,7290,feet,291,70,,26,,,,Burnt Corral02,USFS-Burnt Corral Project Unit,,,,,,,
GRCA,BC02,9/26/16 14:28,"BRANNFORS, HAMBY, McCLURE, ANDERSON",,1,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCA,BC03,,,,,,,Burnt Corral,"Brannfors, Hamby, MacAndrew, McClure",RA,,,376996,4046644,12,NAD83,,,9/29/16,,,7370,feet,198,256,,5,,,Evidence of logging and skid road,Burnt Corral03,USFS-Burnt Corral Project Unit,,,,,,,
GRCA,BC03,9/29/16 14:28,"Brannfors,  Hamby, McClure,  MacAndrew",,1,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCA,BC04,,,,,,,Burnt Corral,"Brannfors, Hamby, MacAndrew, McClure",RA,,,375926,4045755,12,NAD83,,,9/29/16,,,7330,feet,229,190,,26,,,,Burnt Corral04,USFS-Burnt Corral Project Unit,,,,,,,
GRCA,BC04,9/29/16 14:28,"Hamby, Brannfors,  McClure,  MacAndrew",,1,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCA,BC05,,,,,,,Burnt Corral,"BRANNFORS, McCLURE, MacANDREW, HAMBY",RA,,,379380,4046551,12,NAD83,,,9/29/16,,,7560,feet,340,62,,5,,,Skid roads and logging in plot,Burnt Corral05,USFS-Burnt Corral Project Unit,,,,,,,
GRCA,BC05,9/29/16 14:28,"Brannfors, Hamby, MacAndrew, McClure",,1,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCA,BC06,,,,,,,Burnt Corral,"BRANNFORS, McCLURE, MacANDREW, HAMBY",RA,,,378478,4045479,12,NAD83,,,9/29/16,,,7530,feet,335,125,,21,,,Skid roads and logging in plot,Burnt Corral06,USFS-Burnt Corral Project Unit,,,,,,,
GRCA,BC06,9/29/16 14:28,"Brannfors,  Hamby, McClure,  MacAndrew",,1,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCA,BC07,,,,,,,Burnt Corral,"ALI, MacANDREW, McCLURE",RA,,,379627,4044477,12,NAD83,,,10/4/16,,,7700,feet,118,210,,4,,,,Burnt Corral07,USFS-Burnt Corral Project Unit,,,,,,,
GRCA,BC07,10/4/16 14:28,"ALI, McCLURE, MacANDREW",,1,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
