Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
LABE,B:BARTR1D05:13,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,7/17/91,,,4060,feet,341,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BARTR1D05:13,7/17/91,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BARTR1D05:16,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,7/18/91,,,4100,feet,139,45,5,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BARTR1D05:16,7/18/91,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BARTR1D05:18,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,7/18/91,,,4100,feet,297,315,12,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BARTR1D05:18,7/18/91,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BARTR1D05:19,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,7/19/91,,,4100,feet,316,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BARTR1D05:19,7/19/91,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:12,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,12/8/05,,,,,305,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BCELE1D06:12,7/17/89,,From FMH 1029 ,0,00Pro1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:12,7/13/91,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:14,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,12/8/05,,,,,70,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BCELE1D06:14,7/18/89,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:15,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,12/8/05,,,,,93,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BCELE1D06:15,7/12/89,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:16,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,12/8/05,,,,,172,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BCELE1D06:16,7/11/89,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:22,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,12/8/05,,,,,226,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BCELE1D06:22,7/25/89,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:25,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,12/8/05,,,,,100,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BCELE1D06:25,7/20/89,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:26,,,,,,,,,Shrubland,,,621952,4617120,10,NAD 83 Zone 10T,0,0,12/8/05,,,,,91,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BCELE1D06:26,7/28/89,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BCELE1D06:27,,,,,,,,,Shrubland,,,0,0,,NAD 83 Zone 10T,0,0,12/8/05,,,,,266,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",From FMH 1028 ,Subsample comments:  shrb30p_5 m belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BCELE1D06:27,7/25/89,,From FMH 1029 INACTIVE AS OF 2004,1,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:01,,,,,,,Gillem,,Shrubland,,,620250,4629984,,NAD 83 Zone 10T,0,0,4/20/04,,,4070,feet,168,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",Brush belt is 5 meters.,Subsample comments:  shrb30p_1 m Belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:01,5/14/04,,From FMH 1029                                                                  ,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:01,8/14/04,,From FMH 1029                                                                  ,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:01,6/7/05 10:57,"Prince, Plummer, DuBose",,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:01,6/18/06 10:58,"CAMI, CHFR, JUDU",,8,01Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:01,8/24/08 15:34,"Rehlaender, Lee, Landgrebe",,14,02Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:01,6/22/09 15:55,,,15,02Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:01,5/26/10 9:56,,,16,02Yr02,Re02Year02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:01,5/28/13 9:31,,,17,02Yr05,02Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:02,,,,,,,Gillem,,Shrubland,,,619931,4629490,,NAD 83 Zone 10T,0,0,4/20/04,,,4068,feet,150,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",Brush belt is 5 m.,Subsample comments:  shrb30p_1 m Belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:02,5/14/04,,From FMH 1029                                                                  ,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:02,8/14/04,,From FMH 1029                                                                  ,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:02,6/6/05 14:20,"JEPL, JUDU",,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:02,6/18/06 9:52,"Minniti, Frenzen, DuBose",,8,01Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:02,8/24/08 15:35,"Landgrebe, Lee, Rehlaender",,14,02Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:02,6/22/09 15:28,,,15,02Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:02,5/26/10 16:15,Erdody  Stevens  Williams,,16,02Yr02,Re02Year02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:02,5/28/13 10:27,,,17,02Yr05,02Yr05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:03,,,,,,,Gillem,,Shrubland,,,620570,4629738,,NAD 83 Zone 10T,0,0,4/21/04,,,4080,feet,281,0,0,0, Heading to Plot 0,"Route Description:  Feature Description:  Compass Bearing Feature to Stake: 0Distance from Feature to Stake, meters: 0",Brush belt is 5 m.,Subsample comments:  shrb30p_1 m Belt: From FMH 1035 shrb30p_Current: From FMH 1035 tran30p_Current: From FMH 1048,,,,,,,,
LABE,B:BGRAS1X02:03,5/13/04,,From FMH 1029                                                                  ,2,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:03,8/14/04,,From FMH 1029                                                                  ,6,01Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:03,6/7/05 15:26,"JUDU, JEPL",,7,01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:03,6/18/06 8:30,"Minniti, Frenzen, DuBose",,8,01Yr02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:03,8/24/08 15:35,"Lee, Landgrebe, Rehlaender",,14,02Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABE,B:BGRAS1X02:03,6/22/09 15:01,,,15,02Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
