Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
LAVO,B:BARPA1X06:01,,,,,,,Stonehenge,Map and Compass/GPS,Forest,,,4487717,621081,10,NAD83,0,0,9/26/05,,,5875,feet,205,260,25,10,Take Hwy 89 through Lassen Park to the boat launch to the Manzanita Lake trail.,"Take Hwy 89 through the Entrance Station at Manzanita Lake.  Before the campground and store, take a right turn into the boat launch area.  Park here.  At the end of the road (where the circle round is) you will find the Manzanita Lake Trail.  (You can also access this trail from the back of the first campground loop.)  Walk the trail until you come to the junction of the trail coming from the campground.  At this junction there is a sign posted, ""No Bicylces on trail"".  From this point, walk approx. 270m to the reference PIJE (tagged #95, DBH-70cm).  From this tree, the plot center is 150m at 230 degrees.  (Only the origin and he Brown's are tagged at this time.)",Adjacent the decadent shrubby area where the plot is located is an area that has been burned by wildfire.  This areas is becoming badly infested with thistle.  This will likely be a problem after the Stonehenge RX burn.,"Subsample comments:  fuel1_all_Copy2: From FMH 1052 fuel2_all_Copy1: From FMH 1052 fuel3_all_Copy1: From FMH 1052 fuel4_all_Copy1: From FMH 1052 overq1_all_Copy2: From FMH 1039 overq2_all_Copy1: From FMH 1040 overq3_all_Copy1: From FMH 1041 overq4_all_Copy1: From FMH 1042 poleq1_all_Copy2: From FMH 1043 poleq2_all_Copy1: From FMH 1044 poleq3_all_Copy: From FMH 1045 poleq4_all_Copy: From FMH 1046 seed_5x10m: From FMH query 17 seed_rest of Q1: seedlings in the rest of Q1, not including the 5x10m belt shrbq4_all: CHSE not entered b/c clonal tranq4_all_Copy1: From FMH 1049",,,,,,,,
LAVO,B:BARPA1X06:01,9/26/05 14:31,"CHFR, JEDE, DASA",,0,00Pre,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVO,B:BARPA1X06:01,8/5/11 7:38,,,2,00Yr06,00Yr06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVO,B:BARPA1X06:02,,,,,,,Stonehenge,,Shrubland,,,621167,4487532,10,NAD83,0,0,9/7/06,,,6019,feet,180,0,14,14,,,,Subsample comments:  fuel1_all_Copy: From FMH 1052 overq1_all_Copy: From FMH 1039 poleq1_all_Copy: From FMH 1043 seed_all_Copy: From FMH query 17 shrbq30p_all: From FMH 1037 tranq30p_all: From FMH 1050,,,,,,,,
LAVO,B:BARPA1X06:02,9/7/06 14:56,REDW & Point Reyes,,0,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVO,B:BARPA1X06:02,8/2/11 14:48,,,1,00Yr05,Re00Year05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVO,B:BARPA1X06:03,,,,,,,Stonehenge,Map and Compass/GPS,Forest,,,4487630,620739,10,NAD83,0,0,9/27/05,,,5748,feet,180,15,35,40,Highway 89 (the road through the park) to Manzanita Lake boat launch to Manzanita Lake Trail.,"Take Hwy 89 into the park via the Entrance Station at Manzanita Lake.  Before you come to the campground store, take a right into the boat launch area.  Park here.  At the back end of the parking area (where the road circles back around) you will find the Manzanita Lake Trail.  Take this trail.  When you come to the junction of the trail coming from the campground (a sign is there stating, ""No Bicycles on Trail""), walk another 475m to a reference tree (forked PIJE tagged #472 on the side facing away from the lake, DBH-112cm).  At this tree, leave the trail walking on the SE side of the drainage approx. 357m at 240 degrees.  Where this drainage joins another small drainage from the east you will find a reference stake.  From this stake climb uphill 100m at 180 degrees to the lot center.    Note: Distance and bearing as the crow flies from the reference tree to the plot is 413m at 230 degrees.  Not the most freindly way to walk though!!!","This plot is a combination fire effects plot and fuels plot.  We collected all the regular fuels plot data and added a veg transect and shrub belt, as well as tagging trees in to 100'x100' plots.  See trip report for more detailed info.  ",Subsample comments:  fuel1_all:  fuel2_all:  fuel3_all:  fuel4_all:  overq1_all:  overq2_all:  overq3_all:  overq4_all:  poleq1_all:  poleq2_all:  poleq3_all:  poleq4_all:  seed1_all:  shrub1_all:  tran1_all: ,,,,,,,,
LAVO,B:BARPA1X06:03,9/27/05 12:49,"DASA, JEDE, CHFR",,0,00Pre,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVO,B:BARPA1X06:03,8/5/11 8:04,,,2,00Yr06,00Yr06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVO,B:BARPA1X06:04,,,,,,,Stonehenge,,Forest,,,622149,4486804,10,NAD83,0,0,9/10/06,,,6100,feet,22,90,6,0,,,,Subsample comments:  fuel1_all_Copy: From FMH 1052 overq1_all_Copy: From FMH 1039 poleq1_all_Copy: From FMH 1043 seed_all_Copy: From FMH query 17 shrbq30p_all: From FMH 1036 tran30p_all: From FMH 1049,,,,,,,,
LAVO,B:BARPA1X06:04,9/10/06 12:36,"JEDE, CAMI, CHFR, ELUR, BEEI, WERE",,0,00Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVO,B:BARPA1X06:04,8/3/11 14:50,,,1,00Yr05,Re00Year05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVO,B:BARPA1X06:04,7/14/15 16:47,,,,,Thin01Yr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
