Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
WHIS,BARVI1D0404,,,,,,,,"Leach, Larson (1990) - confirmed 2009 BESM, CHME",Shrubland,,,540082,4498425,10N,NAD83,,,4/19/90 7:55,,,0,,210,,12,12,,"Take South Fork Lookout Road 2.8 miles to Mexican Springs junction. From tree at south side of junction, go 42 meters (measured) on two-track road, then leave road at 180 degrees from 250 meters (estimated). Follow route to reference stake. Consult 1990 map for more directions. Reference feature described as ""south fork mountain lookout."" True compass bearing from the reference stake to the reference feature is 2 degrees to south fork lookout.",Sunshine Burn Unit,Sunshine Burn Unit,,,,,,,,
WHIS,BARVI1D0404,4/19/90 8:22,"Leach, Larson",,0,00PRE,00PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0404,5/21/09 7:57,"BESM, CHME",,1,01YR01,01YR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0405,,,,,,,,"Steve Leach (1990) - confirmed (2009) BESM, CHME",Shrubland,,,540226,4498704,10N,NAD83,,,4/19/90 12:50,,,2100,,150,,30,25,,"Take South Fork Lookout Road to Mexican Springs junction. Follow fuel break NE. 6 meters: reference stake to 0P at 216 degrees, reference stake to reference feature = 2411 mtn = 182 degrees. Consult 1990 map for more directions.",Sunshine Burn Unit,Sunshine Burn Unit,,,,,,,,
WHIS,BARVI1D0405,4/19/90 8:17,Steve Leach,,0,00PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0405,5/20/09 12:55,"BESM, CHME",,1,01YR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0408,,,,,,,,"Leach, Larson (1990) - confirmed (2009) BESM, CHME",Shrubland,,,540175,4498676,10N,NAD83,,,4/23/90 13:11,,,2160,,44,135,28,5,,"Take South Fork Lookout Road 3.1 miles to 0.3 miles past Mexican Springs junction. At intersection of firebreak and road, follow cat trail downslope 82 meters (measured), then head 35 meters at 178 degrees to plot reference stake (measured distance). Consult 1990 map for more directions. Reference feature described as ""hill, NE qtr, S15, T32N, R6W."" True compass bearing from the reference stake to the reference feature is 176 degrees.",Sunshine Burn Unit,Sunshine Burn Unit,,,,,,,,
WHIS,BARVI1D0408,4/23/90 7:58,"Leach, Larson",,0,00PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0408,5/20/09 13:17,"BESM, CHME",,1,01YR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0412,,,,,,,,"ML, SL (1990) - confirmed 2009 by BESM, CHME",Shrubland,,,5110064,4498496,10N,NAD83,,,4/27/90 7:50,,,,,266,,22,2,,"Take South Fork Lookout Road to Mexican Springs junction. From tree at junction, go 63 meters (measured) up two-track road. Then go ~120 meters at 210 degrees to reference stake. Consult 1990 map for more directions. Reference feature described as ""south fork mountain lookout.""",Sunshine Burn Unit,Sunshine Burn Unit,,,,,,,,
WHIS,BARVI1D0412,4/27/90 8:32,"ML, SL",,0,00PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0412,5/20/09 7:54,"BESM, CHME",,1,01YR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0414,,,,,,,,"ML, SL (1990) - confirmed (2009) by BESM, CHME",Shrubland,,,540331,4498627,10N,NAD83,,,4/30/88 13:44,,,2950,,166,,9,11,,"Take South Fork Lookout Road 2.8 miles to Mexican Springs pullout (no sign). From SE corner of water cistern at Mexican Springs, go 236 meters (measured) at 93 degrees to Bdy marker, then ~120 meters at 328 degrees to reference stake. Consult 1990 map for more directions, Reference feature described as ""hill, NE 1/4, S15, T32N, R6W."" True compass bearing from the reference stake to the reference feature is 200 degrees.  ",Sunshine Burn Unit,Sunshine Burn Unit,,,,,,,,
WHIS,BARVI1D0414,4/30/90 7:48,"ML, SL",,0,00PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0414,5/21/09 13:47,"BESM, CHME",,1,01YR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0415,,,,,,,,"ML, SL (1990) - confirmed (2009) by BESM, CHME",Shrubland,,,540306,4498605,10N,NAD83,,,4/30/90 7:46,,,1950,,98,,9,10,,"Take South Fork Lookout Road to Mexican Springs road, and then follow Mexican Springs Road to the cistern. From SE corner of cement cistern, walk 236 meters (measured) at 93 degrees to Bdy marker. Then go 130 meters (paced) at 318 degrees to reference stake, Consult 1990 map for more directions. Reference feature described as ""hill, NE 1/4, S15, T32N, R6W."" True compass bearing from the reference stake to the reference feature is 194 degrees.",Sunshine Burn Unit,Sunshine Burn Unit,,,,,,,,
WHIS,BARVI1D0415,4/30/90 8:16,"ML, SL",,0,00PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0415,5/21/09 7:49,"BESM, CHME",,1,01YR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0418,,,,,,,,"ML, Sl 1990 - confirmed 2009 by BESM, CHME",Shrubland,,,539951,4498501,10N,NAD83,,,5/1/90 7:28,,,,,96,83,15,5,,"Take South Fork Lookout Road 2.8 miles to Mexican Springs junction. From the black oak at the Mexican Springs junction, walk 130 meters (paced), then 100 meters at 152 degrees to RS. Consult 1990 map for more directions. Reference feature described as ""south fork lookout mountain."" True compass bearing from the reference stake to the reference feature is 8 degrees.",Sunshine Burn Unit,Sunshine Burn Unit,,,,,,,,
WHIS,BARVI1D0418,5/1/90 8:29,"ML, SL",,0,00PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIS,BARVI1D0418,5/19/09 7:30,"BESM, CHME",,1,01YR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
