Park,Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,DefaultMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
YOSE,20IN 1,,,,,,,Mech Thin,,RA,,,262888,4167562,,nad27,0,5.6,6/24/04 9:19,,,,,304,246,12,14,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 1,6/24/05 11:17,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 1,11/14/05 11:29,,,7,01POSTPILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 1,9/19/06 13:20,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 1,9/16/08 10:50,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 10,,,,,,,Mech Thin,,RA,,,253313,4181710,,nad27,0,9.8,7/8/04 10:07,,,,,309,202,5,4,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 10,7/8/04 11:24,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 10,11/15/05 13:14,,,12,01POSTPILEBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 10,9/25/06 13:24,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 10,6/10/08 12:52,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 11,,,,,,,Mech Thin,,RA,,,255406,4180990,,nad27,0,8.5,7/9/04 10:09,,,,,149,180,20,20,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 11,7/9/04 11:25,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 11,9/25/06 13:24,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 11,6/10/08 12:52,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 12,,,,,,,Mech Thin,,RA,,,252454,4181833,,nad27,0,6.5,7/9/04 10:15,,,,,234,235,48,48,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 12,7/9/04 11:25,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 12,9/20/06 13:25,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 12,6/4/08 12:52,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 13,,,,,,,Mech Thin,,RA,,,252622,4181556,,nad27,0,9,7/9/04 10:17,,,,,153,252,47,4,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 13,7/9/04 11:26,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 13,9/20/06 13:25,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 13,6/4/08 12:52,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 14,,,,,,,Mech Thin,,RA,,,253193,4181637,,nad27,0,8.5,7/9/04 10:21,,,,,195,65,15,8,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 14,7/9/04 11:26,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 14,11/15/05 13:15,,,12,01POSTPILEBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 14,9/20/06 13:25,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 14,6/4/08 12:53,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 2,,,,,,,Mech Thin,,RA,,,263166,4168931,,nad27,0,6.1,6/29/04 9:24,,,,,181,284,36,4,,,"No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 2,6/24/04 11:20,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 2,11/14/05 11:37,,,7,01POSTPILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 2,9/19/06 13:21,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 2,5/29/08 12:49,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 20,,,,,,,Mech Thin,,RA,,,262589,4163113,,nad27,0,9,5/24/05 10:23,,,,,210,249,35,34,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 20,5/24/05 11:26,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 21,,,,,,,Mech Thin,,RA,,,263347,4162318,,nad27,0,5,5/25/05 10:24,,,,,48,200,10,0,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 21,5/25/05 11:27,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 22,,,,,,,Mech Thin,,RA,,,263360,4162025,,nad27,0,7,5/25/05 10:28,,,,,31,18,30,30,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 22,5/25/05 11:27,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 3,,,,,,,Mech Thin,,RA,,,262131,4169280,,nad27,0,10,6/23/04 9:31,,,,,300,245,45,15,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 3,6/23/04 11:21,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 3,11/14/05 11:37,,,7,01POSTPILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 3,9/19/06 13:22,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 3,6/3/08 12:50,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 4,,,,,,,Mech Thin,,RA,,,260970,4170319,,nad27,0,7.7,6/29/04 9:34,,,,,92,25,25,15,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 4,6/29/04 11:22,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 4,11/14/05 11:38,,,7,01POSTPILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 4,9/19/06 13:22,,,5,01PILEBURNYR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 4,6/3/08 12:50,,,2,01PILEBURNYR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 5,,,,,,,Mech Thin,,RA,,,261159,4170115,,nad27,0,7,6/29/04 9:49,,,,,285,,27,13,,,"Plots 6 & 7 burned in PW-17 RX Burn (2005) not by conventional pile burning techniques, surrounding area also broadcast burned.  No 01POSTPILEBURN data collected for plots 8,11,12,13. Treated after field crew left in 2005 season.",Subsample comments:  fuels: ,,,,,,,,
YOSE,20IN 5,6/29/04 11:22,,,10,Pre00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOSE,20IN 5,11/14/05 11:38,,,7,01POSTPILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
