RegistrationUnit_Name,ProjectUnit_Name,MacroPlot_Name,Multi_PU,SampleEvent_Date,SampleEvent_DefaultMonitoringStatus,MonitoringStatus_Name,Protocols,Visited,SampleEvent_TreatmentUnit
GRCA,ALL_FMH,PIAB 01,Y,8/17/06,,Pre,Density - Quadrats (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,8/17/06,,Pre,Cover - Species Composition (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,8/17/06,,Pre,Surface Fuels,Y,
GRCA,ALL_FMH,PIAB 01,Y,8/17/06,,Pre,Density - Belts (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,8/17/06,,Pre,Trees - Individuals (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,8/17/06,,Pre,Cover - Points (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,11/2/07,,01Post,Post Burn Severity,Y,
GRCA,ALL_FMH,PIAB 01,Y,11/2/07,,01Post,Trees - Individuals (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,11/2/07,,01Post,Surface Fuels,Y,
GRCA,ALL_FMH,PIAB 01,Y,11/2/07,,01Post,Density - Belts (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,11/2/07,,01Post,Density - Quadrats (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,7/22/08 7:51,,01Year1,Surface Fuels,Y,
GRCA,ALL_FMH,PIAB 01,Y,7/22/08 7:51,,01Year1,Trees - Individuals (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,7/22/08 7:51,,01Year1,Density - Quadrats (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,7/22/08 7:51,,01Year1,Cover - Species Composition (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,7/22/08 7:51,,01Year1,Density - Belts (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,7/22/08 7:51,,01Year1,Cover - Points (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,6/25/09 9:27,,01Year2,Density - Belts (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,6/25/09 9:27,,01Year2,Cover - Points (metric),Y,
GRCA,ALL_FMH,PIAB 01,Y,6/25/09 9:27,,01Year2,Density - Quadrats (metric),Y,
