RegistrationUnit_Name,ProjectUnit_Name,MacroPlot_Name,Multi_PU,SampleEvent_Date,SampleEvent_DefaultMonitoringStatus,MonitoringStatus_Name,Protocols,Visited,SampleEvent_TreatmentUnit
LABE,BARTR1D05,B:BARTR1D05:13,N,7/17/91,,00Pre,Post Burn Severity (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:13,N,7/17/91,,00Pre,Density - Quadrats (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:13,N,7/17/91,,00Pre,Cover - Species Composition (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:13,N,7/17/91,,00Pre,Density - Belts (metric),Y,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:13,N,7/17/91,,00Pre,Cover - Points (metric),Y,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:16,N,7/18/91,,00Pre,Post Burn Severity (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:16,N,7/18/91,,00Pre,Density - Quadrats (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:16,N,7/18/91,,00Pre,Cover - Species Composition (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:16,N,7/18/91,,00Pre,Density - Belts (metric),Y,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:16,N,7/18/91,,00Pre,Cover - Points (metric),Y,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:18,N,7/18/91,,00Pre,Post Burn Severity (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:18,N,7/18/91,,00Pre,Density - Quadrats (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:18,N,7/18/91,,00Pre,Cover - Species Composition (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:18,N,7/18/91,,00Pre,Density - Belts (metric),Y,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:18,N,7/18/91,,00Pre,Cover - Points (metric),Y,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:19,N,7/19/91,,00Pre,Post Burn Severity (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:19,N,7/19/91,,00Pre,Density - Quadrats (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:19,N,7/19/91,,00Pre,Cover - Species Composition (metric),N,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:19,N,7/19/91,,00Pre,Density - Belts (metric),Y,Fern Cave
LABE,BARTR1D05,B:BARTR1D05:19,N,7/19/91,,00Pre,Cover - Points (metric),Y,Fern Cave
LABE,BCELE1D06,B:BCELE1D06:12,N,7/17/89,,00Pro1,Density - Quadrats (metric),N,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/17/89,,00Pro1,Cover - Species Composition (metric),N,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/17/89,,00Pro1,Density - Belts (metric),Y,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/17/89,,00Pro1,Cover - Points (metric),Y,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/17/89,,00Pro1,Post Burn Severity (metric),N,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/13/91,,00Pre,Post Burn Severity (metric),N,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/13/91,,00Pre,Density - Quadrats (metric),N,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/13/91,,00Pre,Cover - Species Composition (metric),N,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/13/91,,00Pre,Density - Belts (metric),Y,
LABE,BCELE1D06,B:BCELE1D06:12,N,7/13/91,,00Pre,Cover - Points (metric),Y,
LABE,BCELE1D06,B:BCELE1D06:14,N,7/18/89,,00Pre,Post Burn Severity (metric),N,
LABE,BCELE1D06,B:BCELE1D06:14,N,7/18/89,,00Pre,Density - Quadrats (metric),N,
