RegistrationUnit_Name,ProjectUnit_Name,MacroPlot_Name,Multi_PU,SampleEvent_Date,SampleEvent_DefaultMonitoringStatus,MonitoringStatus_Name,Protocols,Visited,SampleEvent_TreatmentUnit
YOSE,RAP ASS ,20IN 1,N,6/24/05 11:17,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 1,N,11/14/05 11:29,,01POSTPILE,Post Burn Severity (metric),Y,
YOSE,RAP ASS ,20IN 1,N,11/14/05 11:29,,01POSTPILE,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 1,N,9/19/06 13:20,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 1,N,9/16/08 10:50,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 10,N,7/8/04 11:24,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 10,N,7/8/04 11:24,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 10,N,11/15/05 13:14,,01POSTPILEBURN,Post Burn Severity (metric),Y,
YOSE,RAP ASS ,20IN 10,N,11/15/05 13:14,,01POSTPILEBURN,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 10,N,9/25/06 13:24,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 10,N,6/10/08 12:52,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 11,N,7/9/04 11:25,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 11,N,7/9/04 11:25,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 11,N,9/25/06 13:24,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 11,N,6/10/08 12:52,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 12,N,7/9/04 11:25,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 12,N,7/9/04 11:25,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 12,N,9/20/06 13:25,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 12,N,6/4/08 12:52,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 13,N,7/9/04 11:26,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 13,N,7/9/04 11:26,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 13,N,9/20/06 13:25,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 13,N,6/4/08 12:52,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 14,N,7/9/04 11:26,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 14,N,7/9/04 11:26,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 14,N,11/15/05 13:15,,01POSTPILEBURN,Post Burn Severity (metric),Y,
YOSE,RAP ASS ,20IN 14,N,11/15/05 13:15,,01POSTPILEBURN,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 14,N,9/20/06 13:25,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 14,N,6/4/08 12:53,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 2,N,6/24/04 11:20,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 2,N,6/24/04 11:20,,Pre00,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 2,N,11/14/05 11:37,,01POSTPILE,Post Burn Severity (metric),Y,
YOSE,RAP ASS ,20IN 2,N,11/14/05 11:37,,01POSTPILE,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 2,N,9/19/06 13:21,,01PILEBURNYR01,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 2,N,5/29/08 12:49,,01PILEBURNYR03,Surface Fuels,Y,
YOSE,RAP ASS ,20IN 20,N,5/24/05 11:26,,Pre00,Post Burn Severity (metric),N,
YOSE,RAP ASS ,20IN 20,N,5/24/05 11:26,,Pre00,Surface Fuels,Y,
