RegistrationUnit_Name,ProjectUnit_Name,MacroPlot_Name,Multi_PU,SampleEvent_Date,SampleEvent_DefaultMonitoringStatus,MonitoringStatus_Name,Protocols,Visited,SampleEvent_TreatmentUnit
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_000,N,10/22/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_001,N,10/26/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_002,N,10/22/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_003,N,10/26/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_004,N,10/15/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_005,N,10/26/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_006,N,10/15/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_007,N,10/15/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_008,N,10/26/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_009,N,10/15/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_010,N,10/15/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_011,N,10/15/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_012,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_013,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_014,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_015,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_016,N,10/19/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_017,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_018,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_019,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_020,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_021,N,10/22/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_022,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_023,N,10/22/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_024,N,10/22/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_025,N,10/21/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_026,N,10/19/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_027,N,10/19/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_3_Finger_Mesa,3_Finger_Mesa_028,N,10/19/09 8:48,PostBurnYear1,PostBurnYear1,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 1a,N,8/29/07 15:40,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 1a,N,8/29/07 15:40,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 1b,N,9/14/07 15:45,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 1b,N,9/14/07 15:45,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 1c,N,9/25/07 11:44,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 1c,N,9/25/07 11:44,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 2a,N,8/29/07 16:10,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 2a,N,8/29/07 16:10,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 2b,N,9/14/07 16:09,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 2b,N,9/14/07 16:09,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 2c,N,9/25/07 11:47,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 2c,N,9/25/07 11:47,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 3a,N,8/29/07 16:11,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 3a,N,8/29/07 16:11,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 3b,N,9/14/07 16:24,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 3b,N,9/14/07 16:24,,,Cover - Species Composition (metric),N,
ZION,CBI_East_Mesa,CBI Plot 4b,N,9/14/07 16:37,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 4b,N,9/14/07 16:37,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 4c,N,9/19/07 11:47,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 4c,N,9/19/07 11:47,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 5a,N,8/29/07 16:42,,,CBI,Y,
ZION,CBI_East_Mesa,CBI Plot 5a,N,8/29/07 16:42,,,Cover - Species Composition (metric),Y,
ZION,CBI_East_Mesa,CBI Plot 5b,N,9/14/07 16:42,,,CBI,Y,
